id,car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
12,honda civic,2018,diesel,36756,2364863,delhi,43580,sedan,manual,base,True,hyderabad,Karnataka,False,WB05,owner,audi,sentra,available,1,565152,2022004.33,average,2020-01-01 11:00:00,False,28870,193006,True,False
13,hyundai elantra,2009,hybrid,193482,906199,kolkata,86677,convertible,manual,premium,False,pune,Karnataka,False,TS06,owner,toyota,focus,available,4,211513,2385026.17,average,2020-01-01 12:00:00,False,51126,162969,False,True
14,hyundai elantra,2014,diesel,192777,731662,chennai,31231,SUV,manual,base,True,bangalore,Telangana,False,TS06,owner,hyundai,sentra,available,4,2297233,3311191.23,good,2020-01-01 13:00:00,True,58092,213134,True,False
15,nissan sentra,2016,diesel,27220,586254,kolkata,48986,coupe,automatic,base,True,hyderabad,West Bengal,True,DL02,dealer,bmw,sentra,sold,3,1641677,4917503.12,good,2020-01-01 14:00:00,True,52609,104481,True,False
16,hyundai elantra,2007,electric,41488,1430332,hyderabad,11012,SUV,automatic,base,True,delhi,Tamil Nadu,False,KA03,owner,bmw,elantra,available,3,1087916,4962379.63,excellent,2020-01-01 15:00:00,False,33054,236820,True,True
17,hyundai elantra,2008,electric,103183,113615,delhi,32860,sedan,manual,premium,False,chennai,West Bengal,True,WB05,owner,audi,elantra,sold,2,307412,1015434.32,poor,2020-01-01 16:00:00,False,44354,257808,False,False
18,honda civic,2015,petrol,76388,784827,pune,43010,hatchback,manual,mid,True,mumbai,West Bengal,True,TS06,owner,toyota,civic,sold,4,1474020,3491422.28,great,2020-01-01 17:00:00,True,30034,234459,True,True
19,toyota corolla,2020,diesel,49854,556118,bangalore,10950,SUV,manual,premium,False,pune,Maharashtra,False,MH01,auction,hyundai,3-series,sold,3,89326,3458528.79,average,2020-01-01 18:00:00,True,51702,75361,True,True
20,ford focus,2023,electric,118927,1694787,pune,67114,coupe,manual,mid,True,pune,Telangana,False,MH01,owner,bmw,3-series,available,4,2302458,1318688.86,poor,2020-01-01 19:00:00,True,13597,117976,True,True
21,hyundai elantra,2016,electric,187714,2921377,hyderabad,58923,sedan,manual,top,True,delhi,West Bengal,False,WB05,auction,honda,sentra,available,3,906284,895046.59,poor,2020-01-01 20:00:00,False,69683,116740,True,True
22,nissan sentra,2018,electric,30340,1481038,delhi,4629,convertible,automatic,top,True,kolkata,Karnataka,False,TN04,auction,ford,a4,sold,2,1594735,2774981.76,excellent,2020-01-01 21:00:00,False,47213,237788,True,True
23,honda civic,2018,electric,57181,2507809,bangalore,29849,sedan,manual,base,False,hyderabad,Delhi,True,DL02,owner,nissan,a4,available,1,675895,1363006.17,poor,2020-01-01 22:00:00,True,47258,126057,False,True
24,honda civic,2023,diesel,17052,2979966,mumbai,50562,SUV,manual,premium,True,chennai,Maharashtra,False,DL02,auction,honda,corolla,sold,4,524941,849337.71,average,2020-01-01 23:00:00,False,74706,232545,True,False
25,ford focus,2015,diesel,192645,2145702,pune,75592,coupe,automatic,base,False,delhi,Delhi,False,TN04,dealer,nissan,civic,sold,3,1193744,4638428.5,poor,2020-01-02 00:00:00,False,68827,77244,False,True
26,honda civic,2014,petrol,156674,2912502,mumbai,60098,convertible,automatic,premium,True,mumbai,Karnataka,False,TN04,dealer,audi,sentra,sold,3,2401672,829415.2,great,2020-01-02 01:00:00,False,69344,201552,True,False
27,hyundai elantra,2015,diesel,90804,939302,kolkata,46111,hatchback,automatic,mid,True,kolkata,Telangana,False,DL02,auction,honda,3-series,sold,2,414079,2078960.43,excellent,2020-01-02 02:00:00,False,50632,24571,False,True
28,ford focus,2022,petrol,79930,1220029,chennai,1599,convertible,automatic,premium,True,delhi,Delhi,False,TS06,owner,honda,3-series,available,2,1756006,4218200.95,good,2020-01-02 03:00:00,False,49410,34887,True,True
29,ford focus,2014,petrol,19916,815005,kolkata,9845,sedan,automatic,base,True,hyderabad,Delhi,True,TN04,dealer,ford,a4,sold,4,1308508,1416722.23,excellent,2020-01-02 04:00:00,False,59201,191759,True,True
30,hyundai elantra,2006,electric,199033,545290,hyderabad,25011,sedan,automatic,base,False,pune,Maharashtra,True,TS06,owner,bmw,sentra,available,2,657416,3335993.22,poor,2020-01-02 05:00:00,True,15876,16286,False,False
31,hyundai elantra,2008,electric,109860,1599122,mumbai,95017,coupe,manual,base,True,chennai,Delhi,False,TS06,auction,audi,sentra,sold,2,1585121,3916682.51,average,2020-01-02 06:00:00,False,78071,115483,False,True
32,toyota corolla,2018,hybrid,155538,1715420,kolkata,53557,sedan,manual,base,True,hyderabad,Tamil Nadu,True,WB05,owner,hyundai,a4,sold,4,1961320,3657721.56,poor,2020-01-02 07:00:00,True,35483,294544,False,False
33,honda civic,2008,diesel,135033,210085,chennai,65907,convertible,manual,premium,False,mumbai,Delhi,True,WB05,auction,toyota,civic,available,3,1045443,1475930.99,good,2020-01-02 08:00:00,False,48126,234306,True,False
34,honda civic,2014,diesel,106037,2402751,delhi,60600,sedan,manual,premium,True,pune,West Bengal,True,KA03,owner,toyota,focus,sold,3,1458950,4864010.13,average,2020-01-02 09:00:00,True,32129,285675,False,True
35,hyundai elantra,2016,electric,133997,2098637,bangalore,50204,coupe,automatic,premium,True,pune,Telangana,True,KA03,auction,honda,corolla,sold,1,2106927,3591945.08,good,2020-01-02 10:00:00,True,73334,143277,True,True
36,hyundai elantra,2021,electric,77927,1098510,mumbai,39477,sedan,manual,mid,False,pune,West Bengal,True,TN04,auction,honda,a4,available,1,1998187,352457.94,good,2020-01-02 11:00:00,True,46845,131481,False,False
37,nissan sentra,2005,electric,132888,1651382,delhi,9362,hatchback,automatic,base,True,kolkata,Tamil Nadu,False,MH01,owner,ford,civic,available,3,2273324,497501.85,excellent,2020-01-02 12:00:00,False,66863,206368,True,True
38,honda civic,2023,hybrid,119909,1552305,bangalore,84475,coupe,automatic,mid,False,pune,Telangana,False,DL02,dealer,honda,corolla,sold,4,871360,3983068.47,average,2020-01-02 13:00:00,True,68012,271174,False,False
39,nissan sentra,2022,petrol,155054,658925,chennai,74404,SUV,automatic,base,False,chennai,West Bengal,True,TN04,auction,honda,civic,available,3,1916800,1331862.79,excellent,2020-01-02 14:00:00,True,56355,49012,False,False
40,nissan sentra,2016,petrol,112133,1805133,kolkata,97214,hatchback,manual,base,False,mumbai,Delhi,True,TN04,dealer,ford,civic,sold,4,118017,1663281.51,poor,2020-01-02 15:00:00,False,79054,277905,True,False
41,nissan sentra,2018,hybrid,171218,1082504,chennai,52783,SUV,automatic,top,True,hyderabad,Telangana,True,TN04,owner,toyota,a4,sold,1,1614765,2199299.17,great,2020-01-02 16:00:00,False,20537,260087,True,False
42,ford focus,2009,hybrid,97289,2425068,delhi,49611,convertible,manual,premium,True,kolkata,Karnataka,True,WB05,owner,ford,elantra,sold,4,2056065,3968032.34,great,2020-01-02 17:00:00,True,50442,93077,False,False
43,ford focus,2015,hybrid,22642,1497242,pune,91314,SUV,manual,mid,False,bangalore,Delhi,True,MH01,auction,audi,corolla,sold,2,103354,3337743.41,good,2020-01-02 18:00:00,True,26794,17892,False,True
44,nissan sentra,2023,hybrid,23640,469830,pune,49722,convertible,manual,premium,False,chennai,Telangana,False,TS06,auction,nissan,civic,sold,1,271372,4002873.44,excellent,2020-01-02 19:00:00,True,64203,40479,False,False
45,ford focus,2016,electric,113076,2251319,chennai,66631,hatchback,automatic,base,False,hyderabad,Delhi,False,DL02,owner,hyundai,a4,available,3,1801111,2274349.91,excellent,2020-01-02 20:00:00,True,16442,94558,False,True
46,nissan sentra,2015,petrol,171853,2471830,chennai,80907,SUV,manual,mid,True,mumbai,Tamil Nadu,True,KA03,dealer,ford,elantra,sold,3,549086,368920.4,good,2020-01-02 21:00:00,True,23667,189439,False,True
47,ford focus,2017,hybrid,169629,497828,pune,35164,sedan,manual,mid,True,mumbai,West Bengal,True,MH01,auction,bmw,elantra,sold,1,1476482,2571358.85,good,2020-01-02 22:00:00,False,23833,91242,False,True
48,honda civic,2013,electric,171702,1178460,kolkata,91122,sedan,automatic,premium,True,kolkata,Telangana,False,WB05,auction,honda,corolla,sold,2,2264934,2155803.49,poor,2020-01-02 23:00:00,False,70205,100025,False,False
49,nissan sentra,2008,diesel,27182,366068,delhi,41452,coupe,manual,top,True,kolkata,Telangana,False,DL02,auction,honda,focus,sold,2,1852631,4349767.93,great,2020-01-03 00:00:00,False,23580,177115,True,False
50,honda civic,2012,petrol,13270,1870174,chennai,68612,SUV,automatic,premium,False,mumbai,West Bengal,False,TN04,owner,nissan,civic,available,1,1515938,2896735.29,good,2020-01-03 01:00:00,True,24948,116720,False,False
51,toyota corolla,2006,electric,113071,2778303,bangalore,33896,convertible,automatic,base,False,bangalore,West Bengal,False,TS06,owner,audi,focus,available,3,1396200,1792758.17,good,2020-01-03 02:00:00,False,19639,73740,True,True
52,nissan sentra,2018,petrol,174069,395500,pune,84853,convertible,manual,base,True,pune,West Bengal,False,DL02,dealer,audi,3-series,sold,3,2280591,3170623.94,great,2020-01-03 03:00:00,True,5945,74959,False,True
53,nissan sentra,2021,electric,113408,2353537,pune,39055,sedan,manual,mid,False,kolkata,Maharashtra,False,DL02,dealer,honda,civic,available,4,1800944,2300189.11,poor,2020-01-03 04:00:00,True,15614,195419,True,True
54,nissan sentra,2005,hybrid,8265,2207159,bangalore,43485,hatchback,automatic,top,False,bangalore,Delhi,True,TS06,owner,bmw,focus,sold,1,2445768,4678739.06,poor,2020-01-03 05:00:00,True,75698,93107,False,False
55,ford focus,2009,petrol,7822,639614,delhi,47696,convertible,automatic,premium,True,delhi,Telangana,False,KA03,owner,toyota,3-series,available,4,598724,3951689.7,good,2020-01-03 06:00:00,False,8827,287946,False,True
56,toyota corolla,2017,hybrid,160959,2491002,pune,43212,hatchback,manual,top,True,pune,Telangana,True,KA03,owner,audi,a4,sold,4,2251179,2677815.56,great,2020-01-03 07:00:00,True,73677,42473,False,False
57,honda civic,2021,petrol,28980,543083,bangalore,91198,convertible,automatic,top,True,pune,Maharashtra,True,MH01,auction,audi,3-series,sold,1,110633,4739999.6,excellent,2020-01-03 08:00:00,False,79710,108200,False,False
58,ford focus,2015,hybrid,61409,1069036,hyderabad,56460,SUV,automatic,top,False,chennai,Delhi,True,TS06,auction,ford,a4,available,2,572533,4736597.13,great,2020-01-03 09:00:00,True,64603,81997,True,False
59,toyota corolla,2020,electric,148885,1946038,kolkata,57054,coupe,manual,mid,True,pune,Telangana,False,MH01,owner,toyota,elantra,available,1,2341604,4557324.0,average,2020-01-03 10:00:00,True,30780,21229,True,True
60,toyota corolla,2007,petrol,77881,2999765,pune,54071,sedan,automatic,base,True,mumbai,West Bengal,True,KA03,dealer,nissan,corolla,available,2,343706,3271415.16,average,2020-01-03 11:00:00,True,50792,216433,True,False
61,honda civic,2023,hybrid,162403,522686,delhi,87371,sedan,manual,top,True,delhi,West Bengal,False,TN04,owner,honda,civic,sold,4,203648,592830.28,great,2020-01-03 12:00:00,False,15588,237299,True,False
62,ford focus,2008,diesel,61586,1323607,bangalore,57233,convertible,automatic,premium,False,mumbai,Delhi,False,TS06,auction,hyundai,corolla,sold,3,2254837,346457.8,poor,2020-01-03 13:00:00,True,41064,72132,False,True
63,nissan sentra,2015,electric,70616,1025212,kolkata,49074,SUV,manual,premium,False,kolkata,Telangana,True,MH01,owner,honda,a4,sold,1,919281,2017444.94,good,2020-01-03 14:00:00,False,7156,63293,False,True
64,honda civic,2007,hybrid,61705,1197097,delhi,17659,hatchback,manual,premium,True,chennai,Tamil Nadu,True,KA03,auction,bmw,sentra,sold,2,379886,1564480.57,good,2020-01-03 15:00:00,False,21376,83550,True,True
65,ford focus,2005,petrol,39493,2592735,chennai,13376,convertible,automatic,premium,False,hyderabad,Delhi,True,MH01,auction,bmw,3-series,available,1,2324234,1418712.23,poor,2020-01-03 16:00:00,False,26800,205398,False,True
66,ford focus,2019,hybrid,198340,285589,pune,73516,sedan,manual,mid,False,pune,West Bengal,True,TN04,dealer,toyota,corolla,available,3,742430,2889978.8,good,2020-01-03 17:00:00,True,66378,214829,True,False
67,toyota corolla,2023,hybrid,39347,388564,delhi,66020,SUV,automatic,base,True,chennai,Maharashtra,True,TN04,auction,hyundai,corolla,available,3,809914,3826907.34,average,2020-01-03 18:00:00,False,78956,113117,True,True
68,ford focus,2018,hybrid,8208,746425,mumbai,32780,sedan,manual,premium,False,pune,West Bengal,False,MH01,auction,hyundai,sentra,available,1,309659,301981.24,poor,2020-01-03 19:00:00,False,36249,256313,True,False
69,ford focus,2017,hybrid,27629,1567571,bangalore,58493,SUV,automatic,mid,True,kolkata,West Bengal,True,TN04,auction,nissan,civic,available,3,1441160,3032259.21,excellent,2020-01-03 20:00:00,False,42540,103742,True,True
70,honda civic,2015,electric,183401,1446213,mumbai,83769,hatchback,manual,top,True,chennai,Tamil Nadu,False,TN04,dealer,bmw,civic,available,3,1712608,454436.51,poor,2020-01-03 21:00:00,False,46542,250623,False,False
71,honda civic,2010,petrol,16448,2748121,bangalore,12226,SUV,automatic,top,False,bangalore,Karnataka,True,TN04,dealer,nissan,elantra,available,1,2385987,2880403.84,average,2020-01-03 22:00:00,True,74994,220780,False,False
72,nissan sentra,2009,hybrid,56776,1466712,chennai,28110,convertible,automatic,base,False,chennai,Maharashtra,False,TN04,owner,toyota,elantra,sold,1,1082172,290317.29,great,2020-01-03 23:00:00,False,36847,207529,False,False
73,nissan sentra,2010,hybrid,25717,2415700,pune,75253,sedan,manual,top,True,mumbai,Tamil Nadu,True,WB05,dealer,toyota,focus,available,1,2024440,3908367.75,average,2020-01-04 00:00:00,True,40104,242769,False,False
74,hyundai elantra,2006,hybrid,156671,1334545,kolkata,87357,coupe,manual,base,True,hyderabad,Telangana,False,TS06,owner,toyota,corolla,sold,2,1957286,571934.84,good,2020-01-04 01:00:00,False,70855,222517,True,True
75,nissan sentra,2018,electric,191106,769654,bangalore,20323,convertible,automatic,mid,True,hyderabad,Karnataka,True,TS06,auction,ford,civic,sold,3,1158872,924173.01,good,2020-01-04 02:00:00,False,25563,131110,True,False
76,nissan sentra,2008,electric,176214,2786269,delhi,7389,SUV,manual,base,False,hyderabad,Delhi,False,MH01,owner,hyundai,focus,available,1,1776040,4271034.25,good,2020-01-04 03:00:00,False,4041,17436,True,False
77,ford focus,2018,hybrid,39071,2856553,delhi,63384,coupe,manual,premium,False,bangalore,Delhi,True,WB05,owner,honda,focus,available,3,2185709,3466357.55,great,2020-01-04 04:00:00,True,30019,96342,True,True
78,honda civic,2020,petrol,69059,1346115,kolkata,72311,coupe,automatic,top,False,kolkata,West Bengal,False,TS06,auction,bmw,focus,sold,3,1596556,445164.51,poor,2020-01-04 05:00:00,True,13991,78715,True,False
79,ford focus,2008,hybrid,21690,2790197,bangalore,69204,coupe,manual,mid,True,mumbai,Maharashtra,False,MH01,auction,hyundai,3-series,available,3,2351747,3829937.51,excellent,2020-01-04 06:00:00,False,33405,296740,True,False
80,hyundai elantra,2010,hybrid,199000,303850,kolkata,85668,hatchback,manual,mid,True,bangalore,Telangana,False,KA03,dealer,audi,a4,available,4,203171,1806133.88,great,2020-01-04 07:00:00,False,28547,192766,False,True
81,ford focus,2017,petrol,29255,2590382,mumbai,71524,hatchback,automatic,top,False,hyderabad,Karnataka,True,MH01,owner,hyundai,elantra,available,4,2168611,3927473.18,poor,2020-01-04 08:00:00,True,15290,204794,True,False
82,ford focus,2005,hybrid,114674,1337028,delhi,45569,SUV,automatic,top,False,chennai,Tamil Nadu,False,KA03,dealer,honda,focus,sold,1,522738,2963831.87,poor,2020-01-04 09:00:00,False,62724,210511,True,True
83,nissan sentra,2011,diesel,131846,2852537,chennai,92631,convertible,automatic,mid,False,bangalore,Tamil Nadu,False,DL02,owner,hyundai,focus,available,3,1636484,2266351.7,average,2020-01-04 10:00:00,True,8725,155393,True,False
84,toyota corolla,2007,petrol,165081,134800,bangalore,39156,convertible,automatic,premium,True,chennai,Karnataka,False,WB05,auction,audi,civic,available,4,631664,4322713.18,poor,2020-01-04 11:00:00,True,4236,63286,False,False
85,toyota corolla,2014,electric,128932,1486749,bangalore,72658,SUV,automatic,premium,True,delhi,Telangana,False,TS06,dealer,nissan,elantra,sold,4,726297,2708677.89,great,2020-01-04 12:00:00,False,64630,207892,False,False
86,ford focus,2007,petrol,151426,2660541,chennai,57765,SUV,automatic,top,True,bangalore,Delhi,True,TN04,auction,audi,focus,sold,3,1390710,2420067.22,average,2020-01-04 13:00:00,True,59741,98190,True,True
87,honda civic,2023,petrol,54645,576574,hyderabad,16256,coupe,manual,base,False,hyderabad,West Bengal,False,DL02,owner,audi,a4,sold,4,1403973,3755621.26,excellent,2020-01-04 14:00:00,False,28240,203906,False,False
88,toyota corolla,2007,petrol,179508,1402781,bangalore,96277,coupe,manual,base,True,hyderabad,Telangana,True,TS06,dealer,ford,a4,sold,4,841615,669299.36,poor,2020-01-04 15:00:00,False,55173,198227,False,False
89,nissan sentra,2018,electric,53485,1705055,chennai,34284,convertible,manual,mid,False,bangalore,West Bengal,False,TN04,auction,ford,civic,sold,2,1420143,3840505.66,poor,2020-01-04 16:00:00,False,62343,255438,False,False
90,toyota corolla,2012,hybrid,148616,197786,chennai,33395,coupe,manual,top,False,delhi,Maharashtra,False,KA03,owner,hyundai,focus,available,4,983944,3870335.03,good,2020-01-04 17:00:00,True,22341,238526,False,False
91,toyota corolla,2023,petrol,98527,2314666,bangalore,42163,sedan,manual,base,True,mumbai,Maharashtra,True,WB05,owner,honda,a4,available,2,87306,2651385.4,excellent,2020-01-04 18:00:00,True,53574,151866,True,False
92,hyundai elantra,2009,electric,152681,452226,mumbai,83773,convertible,automatic,top,False,hyderabad,Delhi,False,MH01,dealer,nissan,focus,available,2,656129,1772377.5,great,2020-01-04 19:00:00,False,15215,173556,True,True
93,toyota corolla,2007,petrol,55089,448565,pune,17596,sedan,manual,base,False,pune,Maharashtra,True,KA03,auction,nissan,3-series,available,2,1801747,4863134.13,good,2020-01-04 20:00:00,False,40109,126507,True,True
94,honda civic,2013,hybrid,17209,1654365,mumbai,92080,sedan,automatic,premium,False,delhi,Telangana,True,KA03,owner,bmw,corolla,available,4,1912641,733535.26,poor,2020-01-04 21:00:00,False,72743,177989,False,False
95,honda civic,2010,petrol,90688,1769882,pune,39095,sedan,manual,base,True,hyderabad,West Bengal,False,DL02,auction,bmw,corolla,available,3,790534,4272406.77,good,2020-01-04 22:00:00,True,56573,215418,False,False
96,nissan sentra,2023,petrol,174805,1713975,kolkata,3317,coupe,manual,top,True,bangalore,Maharashtra,True,MH01,auction,bmw,corolla,sold,4,868082,596403.51,poor,2020-01-04 23:00:00,False,24864,90512,True,True
97,hyundai elantra,2014,electric,36929,1422776,kolkata,7801,coupe,manual,top,False,bangalore,Maharashtra,True,DL02,owner,ford,3-series,available,3,1779615,3850400.64,excellent,2020-01-05 00:00:00,True,34077,239324,True,True
98,toyota corolla,2012,petrol,161687,2464777,mumbai,51347,convertible,manual,base,False,chennai,Karnataka,True,MH01,dealer,hyundai,civic,available,4,1077403,576368.43,good,2020-01-05 01:00:00,True,23789,113840,True,True
99,hyundai elantra,2015,petrol,66960,2546301,delhi,87658,SUV,automatic,mid,False,chennai,Karnataka,True,TN04,dealer,hyundai,focus,available,4,1208402,3645594.73,excellent,2020-01-05 02:00:00,False,11176,68604,False,True
100,honda civic,2017,electric,140864,337415,hyderabad,66542,convertible,automatic,top,False,hyderabad,Tamil Nadu,True,MH01,owner,ford,a4,sold,1,2015883,2480109.84,poor,2020-01-05 03:00:00,True,37916,83403,True,False
101,nissan sentra,2017,hybrid,111605,2405844,delhi,93538,hatchback,automatic,base,False,hyderabad,West Bengal,True,TN04,owner,honda,civic,sold,1,1023485,1635686.33,great,2020-01-05 04:00:00,True,20110,172168,False,True
102,honda civic,2012,diesel,140824,1199685,chennai,83426,sedan,manual,mid,False,delhi,Delhi,True,KA03,auction,nissan,a4,sold,3,2284641,1998221.82,average,2020-01-05 05:00:00,True,24576,208481,False,False
103,nissan sentra,2011,hybrid,64574,652500,kolkata,61016,coupe,automatic,mid,False,kolkata,Telangana,False,TS06,owner,audi,3-series,sold,4,230081,870873.55,poor,2020-01-05 06:00:00,True,53832,136387,False,True
104,ford focus,2015,electric,13314,631511,bangalore,72850,convertible,automatic,base,True,hyderabad,Maharashtra,True,DL02,dealer,hyundai,focus,available,4,760822,2083909.32,great,2020-01-05 07:00:00,True,73650,196164,False,False
105,honda civic,2017,diesel,143778,2581506,delhi,73659,sedan,automatic,base,True,mumbai,Delhi,False,MH01,dealer,toyota,civic,sold,2,1954053,1565990.34,average,2020-01-05 08:00:00,False,62476,262114,False,True
106,honda civic,2014,petrol,193468,2292756,kolkata,34819,SUV,automatic,top,False,hyderabad,Tamil Nadu,True,KA03,dealer,audi,elantra,sold,4,187483,3600833.18,good,2020-01-05 09:00:00,False,79758,292794,False,True
107,honda civic,2012,hybrid,81561,365636,kolkata,69964,coupe,automatic,top,True,hyderabad,Karnataka,False,WB05,dealer,audi,3-series,available,3,1155156,940896.54,great,2020-01-05 10:00:00,False,35386,262036,False,False
108,nissan sentra,2012,electric,58651,1059587,chennai,28421,hatchback,automatic,premium,True,kolkata,Telangana,False,KA03,auction,audi,sentra,available,1,2230256,3900186.45,average,2020-01-05 11:00:00,True,13266,281023,False,False
109,toyota corolla,2007,hybrid,65919,2513100,kolkata,24003,sedan,manual,mid,True,hyderabad,Karnataka,False,WB05,owner,hyundai,focus,available,1,84528,4582308.68,excellent,2020-01-05 12:00:00,False,10807,107887,True,False
110,hyundai elantra,2006,hybrid,92443,467406,kolkata,48096,coupe,automatic,premium,False,hyderabad,Karnataka,False,DL02,auction,toyota,civic,available,2,1621712,1950172.16,good,2020-01-05 13:00:00,False,63646,237891,False,True
111,ford focus,2012,hybrid,42056,1798709,mumbai,28084,coupe,automatic,top,True,chennai,Tamil Nadu,False,MH01,owner,ford,elantra,available,3,2430153,1464882.81,excellent,2020-01-05 14:00:00,True,49994,180072,False,False
112,ford focus,2014,hybrid,196192,672478,bangalore,40492,hatchback,automatic,mid,True,mumbai,Tamil Nadu,False,TS06,dealer,audi,civic,sold,1,1090639,4896752.18,poor,2020-01-05 15:00:00,False,12212,82589,True,False
113,toyota corolla,2017,hybrid,36202,718367,bangalore,27872,SUV,automatic,premium,True,mumbai,Telangana,True,WB05,dealer,bmw,a4,available,4,1659830,4165022.39,excellent,2020-01-05 16:00:00,True,70504,21341,True,False
114,honda civic,2009,electric,141789,2590878,hyderabad,50348,SUV,automatic,top,True,kolkata,West Bengal,False,DL02,owner,toyota,focus,available,1,197835,1316362.67,poor,2020-01-05 17:00:00,True,58366,185288,True,False
115,toyota corolla,2005,hybrid,36964,587823,kolkata,36612,hatchback,automatic,mid,True,kolkata,Tamil Nadu,False,MH01,owner,honda,focus,sold,3,1536071,1781102.89,poor,2020-01-05 18:00:00,False,57231,268783,True,False
116,ford focus,2017,electric,80873,577332,kolkata,72975,sedan,manual,mid,True,delhi,West Bengal,False,MH01,owner,audi,a4,sold,1,1633402,3430465.99,great,2020-01-05 19:00:00,True,45783,171079,False,False
117,ford focus,2017,diesel,8978,1196285,bangalore,71514,convertible,manual,base,True,hyderabad,West Bengal,True,DL02,owner,audi,a4,sold,1,780040,1638427.8,great,2020-01-05 20:00:00,True,53489,166464,True,True
118,nissan sentra,2015,electric,178566,424345,bangalore,25206,convertible,automatic,base,True,kolkata,Maharashtra,False,KA03,owner,nissan,elantra,available,1,2192830,4508232.44,excellent,2020-01-05 21:00:00,True,36087,33709,False,False
119,honda civic,2016,electric,195605,2959273,kolkata,80582,SUV,manual,premium,True,delhi,Telangana,False,TS06,owner,audi,civic,sold,3,955911,2895767.01,average,2020-01-05 22:00:00,True,54036,179170,True,False
120,honda civic,2013,diesel,117773,1986623,kolkata,28107,convertible,manual,base,False,kolkata,West Bengal,True,TS06,owner,toyota,elantra,available,3,704589,2142473.36,average,2020-01-05 23:00:00,False,68038,187214,False,False
121,hyundai elantra,2022,hybrid,21811,1988777,chennai,4295,sedan,automatic,premium,False,pune,West Bengal,False,TS06,auction,ford,focus,sold,4,2188966,951952.8,excellent,2020-01-06 00:00:00,True,25025,201664,False,True
122,ford focus,2012,diesel,9278,402883,bangalore,92392,SUV,automatic,premium,True,mumbai,Tamil Nadu,False,TN04,owner,nissan,a4,sold,4,1495878,3242964.86,excellent,2020-01-06 01:00:00,True,58453,180389,True,False
123,ford focus,2006,hybrid,24018,1642933,kolkata,55108,SUV,automatic,top,True,bangalore,Karnataka,True,MH01,owner,nissan,a4,available,4,976701,4647547.03,good,2020-01-06 02:00:00,True,12974,137603,False,True
124,honda civic,2007,hybrid,6128,2664082,kolkata,66797,sedan,manual,mid,False,delhi,West Bengal,False,DL02,owner,hyundai,focus,sold,1,1047933,3896761.48,average,2020-01-06 03:00:00,True,55864,186001,False,True
